;meta[language=en]
; id      |key(hex)|key(str)| text
2116942000|1b06cd08||Whenever an enemy begins an attack, time slows down for a short period.
2116942001|1b06cd09||Whenever an enemy begins an attack, time slows down for a short period. Extended duration.
2116942002|1b06cd0a||Whenever an enemy begins an attack, time slows down for a short period. Extended duration.<br>Effect scales with Adrenaline.
2116942003|27d6f7d6||Increases Vigor regeneration.
2116942004|27d6f7d7||Increases Vigor regeneration. Extended duration.
2116942005|27d6f7d8||Increases Vigor regeneration. Extended duration. The effects of toxicity on Vigor regeneration is reduced.
2116942006|fc92150a||Increases Poise by 5 points with every hit landed, up to a maximum amount of 50 points. Each hit received reduces the current bonus by 10 points. Effect resets when leaving combat.
2116942007|d23efdaf||When a Quen shield shatters, there is a chance a new one will be cast at no cost. The bonus increases by $S$% for each piece of the set. Current chance is: $S$%.
2116942008|fad8f82b||Serves as both a silver and steel weapon.<br>Infinite durability.
2116942009|c43de44b||Increases the range of Whirl by $S$ yards and Rend by $S$ yards.<br>Casting a sign infuses the weapon with its power to be unleashed on the next Rend or Whirl attack.<br>Every kill made with Whirl or Rend absorbs a chunk of the opponent's stamina.
2116942010|d02fd0a4||Infinite durability.
2116942011|d0344c9e||Bereavement - I
2116942012|00000000||To cast a Sign, press <<CastSign>><br><br>Signs and certain other actions cost Vigor. Before you can cast a Sign again, you need to wait for your Vigor to regenerate.<br>To select a Sign, you can use the keyboard shortcuts <<SelectAard>> - <<SelectAxii>>
2116942013|00000000||To cast a Sign, press <<CastSign>><br><br>Signs and certain other actions cost Vigor. Before you can cast a Sign again, you need to wait for your Vigor to regenerate.
2116942014|257f1e14||When you enter combat, there's a $I$ percent chance you will automatically get a Quen shield without using any Vigor.
2116942015|8ed43e3e||After using Vigor to cast a Sign in its standard mode, the next Sign cast within $S$ seconds will be cast in standard mode without using Vigor.
2116942016|739e1e2d||Attacks dealt from behind have $S$% more damage and stun opponents at the cost of $S$ Adrenaline.
2116942017|bcff1d6b||Sundering Blows
2116942018|00000000||Vigor
2116942019|00000000||Vigor steadily regenerates on its own and is influenced by your Health and Adrenaline.<br><br>Certain Abilities you can acquire allow you to perform special actions that require and consume Vigor.<br><br>Your Vigor decreases when you get hit by enemy attacks and a regeneration delay is incurred for a short time.
2116942020|05d154d8||Vigor
2116942021|07cca517||Adrenaline gain
2116942022|10b5ebbc||Adrenaline bonus
2116942023|363f99d1||Vigor increases the damage you deal. Vigor regenerates on its own as long as you do not get hit.
2116942024|c1e3a998||Vigor regenerates on its own as long as you don't get hit and is used to cast signs.
2116942025|c1e4f686||Adrenaline gain
2116942026|754d1899||Battle Trance now also increases critical hit chance by $I$% per available point of Vigor.
2116942027|c3f5389f||Each point of available Vigor decreases damage received by $S$% (to a maximum of $S$%).
2116942028|874e9f86||Increases evasion speed and the maximum safe dodging angle.
2116942029|874e9f87||Increases evasion speed and the maximum safe dodging angle. Extended duration.
2116942030|874e9f88||Increases evasion speed and the maximum safe dodging angle. Extended duration.
2116942031|fbac9e5a||Armor
2116942032|f9289b86||Bereavement - III
2116942033|f9241f8c||The weapon causes ethereal shock damage to anything it gets in contact with, ignoring part of enemy armor.<br>Serves as both a silver and steel weapon.<br>Infinite durability.
2116942034|ccca9b60||Obliteration - I
2116942035|ccc61f66||The weapon flashes with fire on contact with enemies and sets them ablaze.
2116942036|c4426045||Severance - III
2116942037|f2e69faf||Striking opponents charges the saber over $S$ hits. As soon as the saber is charged, it emanates with red energy, which can be released through a strong attack. This attack drains the user's Vigor and if no Vigor is available, Vitality is drained instead.
2116942038|0cd9e187||Steel sword which is used when fighting humans and any non-supernatural monsters.
2116942039|a2b4930d||Silver sword which is used when fighting supernatural monsters. The soft metal keeps the blade from being durable.
2116942040|942892ef||Heavy gear, offering very good protection and high poise at the cost of agility. Very durable.
2116942041|320650a7||Medium-weight gear, offering a good balance of protection, agility and poise. Moderately durable.
2116942042|736e017e||Light gear, offering a low amount of physical protection and trading almost all poise for agility. Somewhat durable.
2116942043||winterbladeeffectname|Blade Charges
2116942044||item_desc_winterblade|As long as at least one point of Vigor is available, the sword gets charged with fast attacks over $S$ hits. Once charged, strong attacks release the charge in a frosty blast and freeze enemies solid.
2116942045||w3ee_dlc_name|Witcher 3 - Enhanced Edition
2116942046||w3ee_sort_stash|Toggle Stash
2116942047||w3ee_transfer|Transfer Misc
2116942048||adrenalineeffectname|Adrenaline
2116942049|e2e48f8a||Heightened Senses
2116942050||Mods|Mods
2116942051||W3EE_w3ee|W3EE
2116942052||W3EE_Gameplay|Gameplay
2116942053||W3EE_Control|Controls
2116942054||W3EE_Default|Default
2116942055||W3EE_Vanilla|Vanilla
2116942056||W3EE_AutoTarget|Automatic Targeting
2116942057||W3EE_TargetMode1|Target Selection
2116942058||W3EE_Improved|Improved
2116942059||W3EE_TargetMode2|Aiming Mode Without Auto-target
2116942060||W3EE_CameraTarget|Camera Targeting
2116942061||W3EE_MovementTarget|Movement Targeting
2116942062||W3EE_CombatStance|Combat - Enable Combat Stance
2116942063||W3EE_SoftLock|Improved Targeting
2116942064||W3EE_Keyboard|Keyboard
2116942065||W3EE_Controller|Controller
2116942066||W3EE_CameraDirectionW|Camera Direction Weight
2116942067||W3EE_MovementDirectionW|Movement Direction Weight
2116942068||W3EE_FacingDirectionW|Facing Direction Weight
2116942069||W3EE_Hysteresis|Hysteresis (Target Stickiness)
2116942070||W3EE_InFrame|In-Frame Check
2116942071||W3EE_SignCamera|Sign Aiming With Camera
2116942072||W3EE_DisableCamHardlock|Disable Camera Lock on Hard-Lock
2116942073||W3EE_Abilities|Combat
2116942074||W3EE_Whirl|Whirl
2116942075||W3EE_WhirlStamUsage|Whirl - Stamina Usage
2116942076||W3EE_WhirlDamageMult|Whirl - Damage Multiplier
2116942077||W3EE_Rend|Rend
2116942078||W3EE_RendStamUsage|Rend - Stamina Usage
2116942079||W3EE_RendStamDamageMult|Rend - Stamina Damage Mult
2116942080||W3EE_RendDamageMult|Rend - Damage Multiplier
2116942081||W3EE_StamSpeed|Stamina & Speed
2116942082||W3EE_AtkSpdCapHi|Attack Speed - Speed Cap High
2116942083||W3EE_AtkSpdCapLo|Attack Speed - Speed Cap Low
2116942084||W3EE_AtkSpdDependency|Attack Speed - Skill Dependency
2116942085||W3EE_IncrementsFastAttackSkill|Increments Per Skill Level - Fast Attack
2116942086||W3EE_IncrementsStrongAttackSkill|Increments Per Skill Level - Strong Attack
2116942087||W3EE_IncrementsDodgeSkill|Increments Per Skill Level - Dodge & Roll
2116942088||W3EE_IncrementsFastAttackVigor|Increments Per Vigor Point - Fast Attacks
2116942089||W3EE_IncrementsStrongAttackVigor|Increments Per Vigor Point - Strong Attacks
2116942090||W3EE_IncrementsPerLight|Increments Per Light Armor Piece
2116942091||W3EE_DecrementsPerHeavy|Decrements Per Heavy Armor Piece
2116942092||W3EE_StamCostFast|Base Stamina Cost - Fast Attacks
2116942093||W3EE_StamCostHeavy|Base Stamina Cost - Strong Attacks
2116942094||W3EE_StamCostMovement|Base Stamina Cost - Movement
2116942095||W3EE_StamCostBlock|Base Stamina Cost - Block
2116942096||W3EE_StamCostCounter|Base Stamina Cost - Counter
2116942097||W3EE_RegenDelayFast|Stamina Regen Delay - Fast Attacks
2116942098||W3EE_RegenDelayStrong|Stamina Regen Delay - Strong Attacks
2116942099||W3EE_RegenDelayMovement|Stamina Regen Delay - Movement
2116942100||W3EE_RegenDelayBlock|Stamina Regen Delay - Block
2116942101||W3EE_RegenDelayCounter|Stamina Regen Delay - Counter
2116942102||W3EE_MaxReductionStamina|Speed Penalty - Max Reduction Percentage At No Stamina
2116942103||W3EE_MaxReductionHP|Speed Penalty - Max Reduction Percentage At No Health
2116942104||W3EE_SpdMultFast|Speed Multiplier - Fast Attack (No Skill Requirement)
2116942105||W3EE_SpdMultStrong|Speed Multiplier - Strong Attack (No Skill Requirement)
2116942106||W3EE_SpdMultDodge|Speed Multiplier - Dodge & Roll (No Skill Requirement)
2116942107||W3EE_Finishers|Finishers
2116942108||W3EE_FinisherVuln|Finishers - Finisher Vulnerability
2116942109||W3EE_AllowAutoFinish|Finishers - Allow Automatic Finishers
2116942110||W3EE_FinishChance|Finishers - Finisher Chance
2116942111||W3EE_DismChance|Finishers - Dismemberment Chance
2116942112||W3EE_FinishStaminaGain|Finishers - Finisher Stamina Gain
2116942113||W3EE_DismStaminaGain|Finishers - Dismember Stamina Gain
2116942114||W3EE_Defense|Defense
2116942115||W3EE_FleetFootedAngleInc|Dodge - Fleet Footed Angle Increase
2116942116||W3EE_FleetFootedStagger|Dodge - No Fleet Footed Stagger
2116942117||W3EE_FleetFootedLevelReq|Dodge - No Stagger Skill Level Required
2116942118||W3EE_ParryHeavyAttack|Parry - Strong Attacks
2116942119||W3EE_ParryHeavyAttackStagger|Parry - Strong Attacks Stagger
2116942120||W3EE_CounterHeavy|Counter - Strong Attacks
2116942121||W3EE_CounterAdrGain|Counter - Adrenaline Gained
2116942123||W3EE_CounterHuman|Counter - Human Attacks
2116942124||W3EE_SwordCounter|Counter Type - Sword Counter
2116942125||W3EE_KickCounter|Counter Type - Kick
2116942126||W3EE_BashCounter|Counter Type - Bash
2116942127||W3EE_CounterHeavyHuman|Counter - Heavy Human Attacks
2116942128||W3EE_CounterSHeavyHuman|Counter - Human Attacks (Two Handed Weapon)
2116942129||W3EE_CounterMonster|Counter - Monster Attacks
2116942130||W3EE_CounterHeavyMonster|Counter - Heavy Monster Attacks
2116942131||W3EE_SwordCounterBleedDmg|Sword Counter - Bleed Damage Per Skill Level
2116942132||W3EE_SwordCounterBleedDur|Sword Counter - Bleed Duration Per Skill Level
2116942133||W3EE_SwordCounterDisarm|Sword Counter - Chance to Disarm Shields
2116942134||W3EE_KickCounterStaminaDam|Kick Counter - Stamina Damage Per Skill Level
2116942135||W3EE_KickCounterStamDelay|Kick Counter - Stamina Regeneration Delay
2116942136||W3EE_BashCounterVigorThresh|Bash Counter (Knockdown) - Player Vigor Threshold
2116942137||W3EE_BashCounterStamThresh|Bash Counter (Knockdown) - Player Stamina Threshold
2116942138||W3EE_BashCounterEnemyHPThresh|Bash Counter (Knockdown) - Enemy Health Threshold
2116942139||W3EE_Vigor|Vigor
2116942140||W3EE_VigorMax|Vigor - Maximum Value
2116942141||W3EE_VigorRegenSpeed|Vigor Regen - Speed Multiplier
2116942142||W3EE_VigorRegenDelay|Vigor Regen - Regen Delay
2116942143||W3EE_VigorDegenLight|Vigor Degeneration - Light Hits
2116942144||W3EE_VigorDegenHeavy|Vigor Degeneration - Heavy Hits
2116942145||W3EE_VigorDegenSHeavy|Vigor Degeneration - Super Heavy Hits
2116942146||W3EE_VigorIntLost|Intensity Lost Per Vigor (Percentage)
2116942147||W3EE_Injuries|Injuries
2116942148||W3EE_InjuryChance|Injury - Chance On Hit
2116942149||W3EE_InjPImmunity|Injury - Player Immunity
2116942150||W3EE_InjuryMessage|Injury - Messages
2116942151||W3EE_Animations|Animations
2116942152||W3EE_DrinkingAnim|Animation - Drinking Animation
2116942153||W3EE_EatingAnim|Animation - Eating Animation
2116942154||W3EE_OilingAnim|Animation - Oiling Animation
2116942155||W3EE_LootingAnim|Animation - Looting Animation
2116942156||W3EE_Tox|Toxicity
2116942157||W3EE_ToxDegen|Toxicity - Standard Degeneration Rate
2116942158||W3EE_ToxDegenAcc|Toxicity - Accelerated Degeneration Rate
2116942159||W3EE_ToxDegenThresh|Toxicity - Accelerated Degeneration Threshold
2116942160||W3EE_ToxDecelCombDeg|Toxicity - Decelerated Combat Degeneration Rate
2116942161||W3EE_ToxCombatDegen|Toxicity - Combat Degeneration Rate
2116942162||W3EE_ToxResidualDegen|Toxicity - Residual Degeneration Rate
2116942163||W3EE_Enemies|Enemies
2116942164||W3EE_AnD|Aggression & Dodging
2116942165||W3EE_CombatAggr|Enemy Combat Aggressiveness
2116942166||W3EE_VLow|Very Low
2116942167||W3EE_Lower|Lower
2116942168||W3EE_Low|Low
2116942169||W3EE_Normal|Normal
2116942170||W3EE_High|High
2116942171||W3EE_Higher|Higher
